label,text_1,text_2,text_1_norm,text_2_norm
0,"Избежать ""фискального обрыва"": Сенат США поддержал повышение налогов.","Сенат США не допустит ""фискального обрыва"".",избегать_VERB фискальный_ADJ обрыв_NOUN сенат_NOUN сша_NOUN поддерживать_VERB повышение_NOUN налог_NOUN,сенат_NOUN сша_NOUN не_PART допускать_VERB фискальный_ADJ обрыв_NOUN
0,"""Фискальный обрыв"" в США временно предотвращен.","Сенат США не допустит ""фискального обрыва"".",фискальный_ADJ обрыв_NOUN в_ADP сша_NOUN временно_ADV предотвращать_VERB,сенат_NOUN сша_NOUN не_PART допускать_VERB фискальный_ADJ обрыв_NOUN
1,Житель Украины расстрелял посетителей кафе.,На Украине мужчина через окно расстрелял посетителей кафе.,житель_NOUN украина_NOUN расстреливать_VERB посетитель_NOUN кафе_NOUN,на_ADP украина_NOUN мужчина_NOUN через_ADP окно_NOUN расстреливать_VERB посетитель_NOUN кафе_NOUN
0,В Кот-Д`Ивуаре десятки человек погибли в давке на новогоднем салюте.,В давке у стадиона в Кот-д’Ивуаре погибли 60 человек.,в_ADP кот_NOUN д_NOUN ивуар_NOUN десяток_NOUN человек_NOUN погибать_VERB в_ADP давка_NOUN на_ADP новогодний_ADJ салют_NOUN,в_ADP давка_NOUN у_ADP стадион_NOUN в_ADP кот_NOUN д_NOUN ивуар_NOUN погибать_VERB человек_NOUN
0,В Абхазии отомстили за Деда Хасана.,В Абхазии убили врага Деда Хасана.,в_ADP абхазия_NOUN отомщать_VERB за_ADP дед_NOUN хасан_NOUN,в_ADP абхазия_NOUN убивать_VERB враг_NOUN дед_NOUN хасан_NOUN
0,Чечня попросила националистов составить кодекс поведения кавказцев.,Националисты помогут Чечне составить кодекс поведения кавказцев.,чечня_NOUN попросить_VERB националист_NOUN составлять_VERB кодекс_NOUN поведение_NOUN кавказец_NOUN,националист_NOUN помогать_VERB чечня_NOUN составлять_VERB кодекс_NOUN поведение_NOUN кавказец_NOUN
1,В новогоднюю ночь во Франции сожгли больше тысячи машин.,В новогоднюю ночь во Франции сожгли 1193 автомобиля.,в_ADP новогодний_ADJ ночь_NOUN во_ADP франция_NOUN сжигать_VERB много_ADV тысяча_NOUN машина_NOUN,в_ADP новогодний_ADJ ночь_NOUN во_ADP франция_NOUN сжигать_VERB автомобиль_NOUN
1,В Анголе в давке во время церковной службы погибли 10 человек.,В ходе давки на церковной службе в Анголе погибли 10 человек.,в_ADP ангола_NOUN в_ADP давка_NOUN во_ADP время_NOUN церковный_ADJ служба_NOUN погибать_VERB человек_NOUN,в_ADP ход_NOUN давка_NOUN на_ADP церковный_ADJ служба_NOUN в_ADP ангола_NOUN погибать_VERB человек_NOUN
1,Morgan Stanley взял на работу бывшего зампреда Банка России.,Бывший глава ФСФР нашел работу в Morgan Stanley.,Morgan_X Stanley_X взять_VERB на_ADP работа_NOUN бывший_ADJ зампред_NOUN банк_NOUN россия_NOUN,бывший_ADJ глава_NOUN ФСФР_X находить_VERB работа_NOUN в_ADP Morgan_X Stanley_X
1,"Конгресс США утвердил план по предотвращению ""фискального обрыва"".","Палата представителей утвердила план предотвращения ""фискального обрыва"".",конгресс_NOUN сша_NOUN утверждать_VERB план_NOUN по_ADP предотвращение_NOUN фискальный_ADJ обрыв_NOUN,палата_NOUN представитель_NOUN утверждать_VERB план_NOUN предотвращение_NOUN фискальный_ADJ обрыв_NOUN
0,Счетная палата проверит Газпром на непрофильные активы.,"Счетная палата проверит ""Газпром"" впервые за пять лет.",счетный_ADJ палата_NOUN проверять_VERB газпром_NOUN на_ADP непрофильный_ADJ актив_NOUN,счетный_ADJ палата_NOUN проверять_VERB газпром_NOUN впервые_ADV за_ADP пять_NUM год_NOUN
1,Новые комиксы о пророке Мухаммеде появились во Франции.,Во Франции издали комикс по мотивам жизни пророка Мухаммада.,новый_ADJ комикс_NOUN о_ADP пророк_NOUN мухаммед_NOUN появляться_VERB во_ADP франция_NOUN,во_ADP франция_NOUN издали_ADV комикс_NOUN по_ADP мотив_NOUN жизнь_NOUN пророк_NOUN мухаммад_NOUN
0,Число убитых в ходе конфликта в Сирии превысило 60 тысяч.,В ходе сирийского конфликта погибли 60 тысяч человек.,число_NOUN убивать_VERB в_ADP ход_NOUN конфликт_NOUN в_ADP сирия_NOUN превышать_VERB тысяча_NOUN,в_ADP ход_NOUN сирийский_ADJ конфликт_NOUN погибать_VERB тысяча_NOUN человек_NOUN
1,В США скончалась звезда эстрады 1950-х Патти Пейдж.,Скончалась американская певица Патти Пейдж.,в_ADP сша_NOUN скончаться_VERB звезда_NOUN эстрада_NOUN х_NOUN патти_NOUN пейдж_NOUN,скончаться_VERB американский_ADJ певица_NOUN патти_NOUN пейдж_NOUN
1,"Сенат США единогласно осудил ""закон Димы Яковлева"".",Сенат США единогласно осудил запрет на усыновление.,сенат_NOUN сша_NOUN единогласно_ADV осуждать_VERB закон_NOUN дима_NOUN яковлев_NOUN,сенат_NOUN сша_NOUN единогласно_ADV осуждать_VERB запрет_NOUN на_ADP усыновление_NOUN
0,Госдума еще на шаг приблизила антитабачный закон.,Госдума приняла антитабачный законопроект во втором чтении.,госдума_NOUN еще_ADV на_ADP шаг_NOUN приближать_VERB антитабачный_ADJ закон_NOUN,госдума_NOUN принимать_VERB антитабачный_ADJ законопроект_NOUN во_ADP второй_ADJ чтение_NOUN
-1,ЛДПР: 80% жителей России поддерживают антитабачный закон.,Госдума приняла антитабачный законопроект во втором чтении.,лдпр_NOUN житель_NOUN россия_NOUN поддерживать_VERB антитабачный_ADJ закон_NOUN,госдума_NOUN принимать_VERB антитабачный_ADJ законопроект_NOUN во_ADP второй_ADJ чтение_NOUN
1,"СК выяснит, был ли подкуп свидетеля по делу Ю.Буданова.",СК проверит информацию о подкупе свидетеля по делу об убийстве Буданова.,ск_NOUN выяснивать_VERB быть_VERB ли_SCONJ подкуп_NOUN свидетель_NOUN по_ADP дело_NOUN ю_NOUN буданов_NOUN,ск_NOUN проверять_VERB информация_NOUN о_ADP подкуп_NOUN свидетель_NOUN по_ADP дело_NOUN об_ADP убийство_NOUN буданов_NOUN
0,ЕБРР повысил прогноз роста экономики РФ в 2013г.,ЕБРР повысил прогноз по росту экономики России.,ебрр_NOUN повышать_VERB прогноз_NOUN рост_NOUN экономика_NOUN рф_NOUN в_NOUN,ебрр_NOUN повышать_VERB прогноз_NOUN по_ADP рост_NOUN экономика_NOUN россия_NOUN
1,В Ватикане перестали принимать платежи банковскими картами.,ЦБ Италии запретил платежи банковскими картами в Ватикане.,в_ADP ватикан_NOUN переставать_VERB принимать_VERB платеж_NOUN банковский_ADJ карта_NOUN,цб_NOUN италия_NOUN запрещать_VERB платеж_NOUN банковский_ADJ карта_NOUN в_ADP ватикан_NOUN
1,В Германии начался процесс по делу российских шпионов - супругов Аншлаг.,В Германии начался процесс над российскими шпионами.,в_ADP германия_NOUN начинаться_VERB процесс_NOUN по_ADP дело_NOUN российский_ADJ шпион_NOUN супруг_NOUN аншлаг_NOUN,в_ADP германия_NOUN начинаться_VERB процесс_NOUN над_ADP российский_ADJ шпион_NOUN
1,Глава управы района Северное Медведково задержан за взятку.,Главу управы Северное Медведково поймали на взятке.,глава_NOUN управа_NOUN район_NOUN северный_ADJ медведково_NOUN задерживать_VERB за_ADP взятка_NOUN,глава_NOUN управа_NOUN северный_ADJ медведково_NOUN поймать_VERB на_ADP взятка_NOUN
1,"""Болотное дело"": в СКР на допрос ждут блогера Митю Алешковского.","Митю Алешковского вызвали на допрос по ""болотному делу"".",болотное_NOUN дело_NOUN в_ADP СКР_X на_ADP допрос_NOUN ждать_VERB блогер_NOUN митя_NOUN алешковский_ADJ,митя_NOUN алешковский_ADJ вызывать_VERB на_ADP допрос_NOUN по_ADP болотный_ADJ дело_NOUN
1,"США получат $1,4 млрд за аварию на нефтяной платформе в Мексиканском заливе.","Владелец платформы Deepwater Horizon оштрафован на 1,4 миллиарда долларов.",сша_NOUN получать_VERB млрд_NOUN за_ADP авария_NOUN на_ADP нефтяной_ADJ платформа_NOUN в_ADP мексиканский_ADJ залив_NOUN,владелец_NOUN платформа_NOUN Deepwater_X Horizon_X оштрафовать_VERB на_ADP миллиард_NOUN доллар_NOUN
1,Корреспондента российского телеканала ранили в пригороде Дамаска.,В Сирии ранили корреспондента российского телеканала.,корреспондент_NOUN российский_ADJ телеканал_NOUN ранить_VERB в_ADP пригород_NOUN дамаск_NOUN,в_ADP сирия_NOUN ранить_VERB корреспондент_NOUN российский_ADJ телеканал_NOUN
1,Взрыв на заправочной станции в Дамаске унес жизни 11 человек.,При взрыве на автозаправке в Дамаске погибли 11 человек.,взрыв_NOUN на_ADP заправочный_ADJ станция_NOUN в_ADP дамаск_NOUN уносить_VERB жизнь_NOUN человек_NOUN,при_ADP взрыв_NOUN на_ADP автозаправка_NOUN в_ADP дамаск_NOUN погибать_VERB человек_NOUN
1,В Эритрее произошла попытка государственного переворота.,В Эритрее произошла попытка военного переворота.,в_ADP эритрея_NOUN происходить_VERB попытка_NOUN государственный_ADJ переворот_NOUN,в_ADP эритрея_NOUN происходить_VERB попытка_NOUN военный_ADJ переворот_NOUN
0,Старейший банк Швейцарии закрывается из-за американских клиентов.,Старейший банк Швейцарии закрылся из-за иска властей США.,старый_ADJ банк_NOUN швейцария_NOUN закрываться_VERB из-за_ADP американский_ADJ клиент_NOUN,старый_ADJ банк_NOUN швейцария_NOUN закрываться_VERB из-за_ADP иск_NOUN власть_NOUN сша_NOUN
1,"Экономический ущерб от ""арабской весны"" составит $225 млрд.","Оценку убытков от ""арабской весны"" повысили до 225 миллиардов долларов.",экономический_ADJ ущерб_NOUN от_ADP арабский_ADJ весна_NOUN составлять_VERB млрд_NOUN,оценка_NOUN убыток_NOUN от_ADP арабский_ADJ весна_NOUN повышать_VERB до_ADP миллиард_NOUN доллар_NOUN
0,Марокканские бедуины нашли в Сахаре уникальный марсианский метеорит.,В Сахаре обнаружен рекордно влажный марсианский метеорит.,марокканский_ADJ бедуин_NOUN находить_VERB в_ADP сахар_NOUN уникальный_ADJ марсианский_ADJ метеорит_NOUN,в_ADP сахар_NOUN обнаруживать_VERB рекордно_ADV влажный_ADJ марсианский_ADJ метеорит_NOUN
1,"Пошел на посадку: ""АэроСвит"" начал процедуру банкротства.","Украинский суд начал процедуру банкротства компании ""Аэросвит"".",пойти_VERB на_ADP посадка_NOUN аэросвита_NOUN начинать_VERB процедура_NOUN банкротство_NOUN,украинский_ADJ суд_NOUN начинать_VERB процедура_NOUN банкротство_NOUN компания_NOUN аэросвита_NOUN
0,В египетский Суэц из-за беспорядков введены правительственные войска.,В египетский Суэц ввели войска.,в_ADP египетский_ADJ суэц_NOUN из-за_ADP беспорядок_NOUN вводить_VERB правительственный_ADJ войско_NOUN,в_ADP египетский_ADJ суэц_NOUN вводить_VERB войско_NOUN
1,РЖД подало иск о взыскании 2 млн рублей с Apple.,РЖД через суд потребовали с Apple 2 миллиона рублей.,ржд_NOUN подавать_VERB иск_NOUN о_ADP взыскание_NOUN млн_X рубль_NOUN с_NOUN Apple_X,ржд_NOUN через_ADP суд_NOUN потребовать_VERB с_ADP Apple_X миллион_NOUN рубль_NOUN
1,Умер ветеран правозащитного движения В.Абрамкин.,Умер ветеран правозащитного движения Валерий Абрамкин.,умирать_VERB ветеран_NOUN правозащитный_ADJ движение_NOUN в_NOUN абрамкин_NOUN,умирать_VERB ветеран_NOUN правозащитный_ADJ движение_NOUN валерий_NOUN абрамкин_NOUN
1,В Египте приговорили к смерти участников погрома на стадионе в Порт-Саиде.,В Египте вынесен смертный приговор за погром на стадионе.,в_ADP египет_NOUN приговаривать_VERB к_ADP смерть_NOUN участник_NOUN погром_NOUN на_ADP стадион_NOUN в_ADP порт-саид_NOUN,в_ADP египет_NOUN вынести_VERB смертный_ADJ приговор_NOUN за_ADP погром_NOUN на_ADP стадион_NOUN
0,В египетский Порт-Саид вводят войска из-за разбушевавшихся фанатов.,Египетская армия блокировала Порт-Саид.,в_ADP египетский_ADJ порт-саид_NOUN вводить_VERB войско_NOUN из-за_ADP разбушеваться_VERB фанат_NOUN,египетский_ADJ армия_NOUN блокировать_VERB порт-саид_NOUN
1,В Подмосковье накрыли сходку криминальных авторитетов.,На сходке криминальных авторитетов в Подмосковье задержаны 23 человека.,в_ADP подмосковье_NOUN накрывать_VERB сходка_NOUN криминальный_ADJ авторитет_NOUN,на_ADP сходка_NOUN криминальный_ADJ авторитет_NOUN в_ADP подмосковье_NOUN задерживать_VERB человек_NOUN
0,Пожар в новостройке на юго-западе Москвы: 10 погибших.,В пожаре на юго-западе Москвы погибли 9 человек.,пожар_NOUN в_ADP новостройка_NOUN на_ADP юго-запад_NOUN москва_NOUN погибать_VERB,в_ADP пожар_NOUN на_ADP юго-запад_NOUN москва_NOUN погибать_VERB человек_NOUN
1,Первый Patriot в Турции приведен в боевую готовность.,Первая батарея Patriot заступила на боевое дежурство в Турции.,первый_ADJ Patriot_X в_ADP турция_NOUN приводить_VERB в_ADP боевой_ADJ готовность_NOUN,первый_ADJ батарея_NOUN Patriot_X заступать_VERB на_ADP боевой_ADJ дежурство_NOUN в_ADP турция_NOUN
1,Работа Генконсульства РФ в сирийском Алеппо временно приостановлена.,РФ приостановила деятельность консульства в Алеппо.,работа_NOUN генконсульство_NOUN рф_NOUN в_ADP сирийский_ADJ алеппо_NOUN временно_ADV приостанавливать_VERB,рф_NOUN приостанавливать_VERB деятельность_NOUN консульство_NOUN в_ADP алеппо_NOUN
1,СМИ: Власти просят жителей Крымска вернуть часть компенсаций.,От жителей Крымска потребовали вернуть часть материальной помощи.,сми_NOUN власть_NOUN просить_VERB житель_NOUN крымск_NOUN вернуть_VERB часть_NOUN компенсация_NOUN,от_ADP житель_NOUN крымск_NOUN потребовать_VERB вернуть_VERB часть_NOUN материальный_ADJ помощь_NOUN
-1,В главном здании МГУ загорелась столовая.,Из главного здания МГУ эвакуированы около 300 человек.,в_ADP главный_ADJ здание_NOUN мгу_NOUN загораться_VERB столовая_NOUN,из_ADP главный_ADJ здание_NOUN мгу_NOUN эвакуировать_VERB около_ADP человек_NOUN
1,Пропавший на Эльбрусе альпинист найден мертвым на высоте 5 км.,На Эльбрусе нашли мертвым пропавшего московского альпиниста.,пропадать_VERB на_ADP эльбрус_NOUN альпинист_NOUN находить_VERB мертвый_ADJ на_ADP высота_NOUN км_NOUN,на_ADP эльбрус_NOUN находить_VERB мертвый_ADJ пропадать_VERB московский_ADJ альпинист_NOUN
-1,В правительстве вновь высказались за муниципальный фильтр на выборах.,Правительство выступило против отмены муниципального фильтра для парламентских партий.,в_ADP правительство_NOUN вновь_ADV высказываться_VERB за_ADP муниципальный_ADJ фильтр_NOUN на_ADP выборы_NOUN,правительство_NOUN выступать_VERB против_ADP отмена_NOUN муниципальный_ADJ фильтр_NOUN для_ADP парламентский_ADJ партия_NOUN
1,РФ отправила за российскими гражданами в Сирию два самолета.,МЧС отправляет два самолета для вывоза россиян из Сирии.,рф_NOUN отправлять_VERB за_ADP российский_ADJ гражданин_NOUN в_ADP сирия_NOUN два_NUM самолет_NOUN,мчс_NOUN отправлять_VERB два_NUM самолет_NOUN для_ADP вывоз_NOUN россиянин_NOUN из_ADP сирия_NOUN
0,При пожаре в ночном клубе в Бразилии погибли 245 человек.,При пожаре в бразильском ночном клубе погибли 90 человек.,при_ADP пожар_NOUN в_ADP ночной_ADJ клуб_NOUN в_ADP бразилия_NOUN погибать_VERB человек_NOUN,при_ADP пожар_NOUN в_ADP бразильский_ADJ ночной_ADJ клуб_NOUN погибать_VERB человек_NOUN
0,При пожаре в ночном клубе в Бразилии погибли более 200 человек.,При пожаре в бразильском ночном клубе погибли 90 человек.,при_ADP пожар_NOUN в_ADP ночной_ADJ клуб_NOUN в_ADP бразилия_NOUN погибать_VERB много_ADV человек_NOUN,при_ADP пожар_NOUN в_ADP бразильский_ADJ ночной_ADJ клуб_NOUN погибать_VERB человек_NOUN
0,"Главный ""барометр"" США отдает ""Оскар"" фильму ""Операция ""Арго"".",Гильдия продюсеров США назвала «Операцию „Арго“» фильмом года.,главный_ADJ барометр_NOUN сша_NOUN отдавать_VERB оскар_NOUN фильм_NOUN операция_NOUN арго_NOUN,гильдия_NOUN продюсер_NOUN сша_NOUN называть_VERB операция_NOUN арго_NOUN фильм_NOUN год_NOUN
-1,Глава управы района Северное Медведково задержан за взятку.,Пойманного на взятке главу управы Северное Медведково уволили.,глава_NOUN управа_NOUN район_NOUN северный_ADJ медведково_NOUN задерживать_VERB за_ADP взятка_NOUN,поймать_VERB на_ADP взятка_NOUN глава_NOUN управа_NOUN северный_ADJ медведково_NOUN увольнять_VERB
1,Премьер Эфиопии возглавил Африканский союз.,Премьер-министр Эфиопии возглавил Африканский союз.,премьер_NOUN эфиопия_NOUN возглавлять_VERB африканский_ADJ союз_NOUN,премьер-министр_NOUN эфиопия_NOUN возглавлять_VERB африканский_ADJ союз_NOUN
0,Во Флориде самолет упал на дом: 3 погибших.,Самолет упал на жилой дом во Флориде.,во_ADP флорида_NOUN самолет_NOUN упасть_VERB на_ADP дом_NOUN погибший_ADJ,самолет_NOUN упасть_VERB на_ADP жилой_ADJ дом_NOUN во_ADP флорида_NOUN
0,"Пожар в Покровской больнице: двое погибли, 50 — эвакуированы.",Два человека погибли при пожаре в больнице в Санкт-Петербурге.,пожар_NOUN в_ADP покровский_ADJ больница_NOUN двое_NUM погибать_VERB эвакуировать_VERB,два_NUM человек_NOUN погибать_VERB при_ADP пожар_NOUN в_ADP больница_NOUN в_ADP санкт-петербург_NOUN
1,В Альпах разбился снегоход с российскими туристами.,Группа туристов разбилась на снегоходе в Альпах.,в_ADP альпы_NOUN разбиваться_VERB снегоход_NOUN с_ADP российский_ADJ турист_NOUN,группа_NOUN турист_NOUN разбиваться_VERB на_ADP снегоход_NOUN в_ADP альпы_NOUN
0,Число погибших при взрыве в университете Алеппо превысило 80.,В Университете Алеппо произошел взрыв.,число_NOUN погибший_ADJ при_ADP взрыв_NOUN в_ADP университет_NOUN алеппо_NOUN превышать_VERB,в_ADP университет_NOUN алеппо_NOUN происходить_VERB взрыв_NOUN
1,"Генконсул РФ назвал имена россиян, погибших в Альпах.",Стали известны имена погибших в Альпах россиян.,генконсул_NOUN рф_NOUN называть_VERB имя_NOUN россиянин_NOUN погибать_VERB в_ADP альпы_NOUN,становиться_VERB известный_ADJ имя_NOUN погибать_VERB в_ADP альпы_NOUN россиянин_NOUN
1,Французские и малийские военнослужащие выбили исламистов из Тимбукту.,Французские и малийские войска вошли в Тимбукту.,французский_ADJ и_SCONJ малийский_ADJ военнослужащий_NOUN выбивать_VERB исламист_NOUN из_ADP тимбукт_NOUN,французский_ADJ и_SCONJ малийский_ADJ войско_NOUN входить_VERB в_ADP тимбукт_NOUN
0,У берегов Аляски произошло землетрясение магнитудой 7.5.,"У берегов Аляски произошло землетрясение магнитудой 7,7.",у_ADP берег_NOUN аляска_NOUN происходить_VERB землетрясение_NOUN магнитуда_NOUN,у_ADP берег_NOUN аляска_NOUN происходить_VERB землетрясение_NOUN магнитуда_NOUN
1,Принц Гарри закончил военную службу в Афганистане.,Британский принц Гарри завершил службу в Афганистане.,принц_NOUN гарри_NOUN заканчивать_VERB военный_ADJ служба_NOUN в_ADP афганистан_NOUN,британский_ADJ принц_NOUN гарри_NOUN завершать_VERB служба_NOUN в_ADP афганистан_NOUN
1,Единоросс получил более 90% голосов на выборах мэра Кемерово.,Единорос набрал 90 процентов голосов на выборах мэра Кемерово.,единоросс_NOUN получать_VERB много_ADV голос_NOUN на_ADP выборы_NOUN мэр_NOUN кемерово_NOUN,единорос_NOUN набирать_VERB процент_NOUN голос_NOUN на_ADP выборы_NOUN мэр_NOUN кемерово_NOUN
1,В Мали режим чрезвычайного положения продлили на 3 месяца.,Власти Мали продлили на три месяца режим чрезвычайного положения.,в_ADP мали_NOUN режим_NOUN чрезвычайный_ADJ положение_NOUN продлять_VERB на_ADP месяц_NOUN,власть_NOUN мали_NOUN продлять_VERB на_ADP три_NUM месяц_NOUN режим_NOUN чрезвычайный_ADJ положение_NOUN
1,Жерар Депардье прибыл в Сочи за российским паспортом.,Депардье прилетел в Сочи за российским паспортом.,жерар_NOUN депардие_NOUN прибывать_VERB в_ADP сочи_NOUN за_ADP российский_ADJ паспорт_NOUN,депардие_NOUN прилетать_VERB в_ADP сочи_NOUN за_ADP российский_ADJ паспорт_NOUN
-1,Россия даст Бангладеш $500 млн на строительство первой в стране АЭС.,"""Росатом"" назвал дату строительства АЭС в Бангладеш.",россия_NOUN давать_VERB бангладеш_NOUN млн_X на_ADP строительство_NOUN первый_ADJ в_ADP страна_NOUN аэс_NOUN,росат_NOUN называть_VERB дата_NOUN строительство_NOUN аэс_NOUN в_NOUN бангладеш_NOUN
1,Бразилия скорбит по 233 жертвам пожара в клубе Kiss.,В Бразилии объявили трехдневный траур по жертвам пожара в клубе.,бразилия_NOUN скорбеть_VERB по_ADP жертва_NOUN пожар_NOUN в_ADP клуб_NOUN Kiss_X,в_ADP бразилия_NOUN объявлять_VERB трехдневный_ADJ траур_NOUN по_ADP жертва_NOUN пожар_NOUN в_ADP клуб_NOUN
1,Режим ЧС введен в Якутии из-за нашествия волков.,В Якутии ввели режим ЧС из-за волков.,режим_NOUN ЧС_X вводить_VERB в_ADP якутия_NOUN из-за_ADP нашествие_NOUN волк_NOUN,в_ADP якутия_NOUN вводить_VERB режим_NOUN ЧС_X из-за_ADP волк_NOUN
-1,На трассе в Пермском крае в результате ДТП погибло 5 человек.,В Колумбии в ДТП погибли 11 человек.,на_ADP трасса_NOUN в_ADP пермский_ADJ край_NOUN в_ADP результат_NOUN дтп_NOUN погибать_VERB человек_NOUN,в_ADP колумбия_NOUN в_ADP дтп_NOUN погибать_VERB человек_NOUN
1,У гражданина Таджикистана в Москве изъяли 13 кг. героина.,В Москве у таджика изъяли 13 килограммов героина.,у_ADP гражданин_NOUN таджикистан_NOUN в_ADP москва_NOUN изымать_VERB кг_NOUN героин_NOUN,в_ADP москва_NOUN у_ADP таджик_NOUN изымать_VERB килограмм_NOUN героин_NOUN
